Locality,Postal code,Type,Build,Price,Number_rooms,Fully_equipped_kitchen,Furnished,Open_fire,Terrace,Ter_Area,Garden,Area_garden,Livable_surface_area,Surface_area_land,Numb_facades,Swimming_pool,State
Ixelles,1050,Penthouse,1,2500000€,4,1,0,0,1,111,0,,277,,2,0,Excellent état
Courtrai,8500,Maison,1,175000€,3,1,0,0,0,,1,82,135,160,2,0,À rafraîchir
Marke,8510,Maison,1,190000€,3,1,0,0,0,,1,240,133,353,3,0,À rafraîchir
Burg-Reuland,4790,Bungalow,1,279000€,2,1,0,0,1,25,1,2000,90,2265,4,0,Bon
Ellezelles,7890,Maison de maître,1,310000€,3,0,0,0,0,,0,,331,160,3,0,Bon
Anderlecht,1070,Appartement,1,80000€,,0,0,0,0,,0,,83,,4,0,À rénover
La,1310,Villa,1,635000€,5,1,0,1,1,42,1,415,220,515,4,0,Excellent état
Knokke,8300,Appartement,1,725000€,3,0,0,0,0,,0,,102,,2,0,Excellent état
Hamoir,4180,Maison bel-étage,1,149000€,2,0,0,0,0,,0,,98,25,2,0,Bon
Schaerbeek,1030,Appartement,1,239000€,2,1,0,0,0,,0,,66,,2,0,Fraîchement rénové
Wemmel,1780,Duplex,1,320000€,3,0,0,0,1,2,0,,135,,2,0,Excellent état
Uccle,1180,Appartement,1,349000€,2,0,0,0,1,7,0,,93,,2,0,Bon
Gand,9000,Appartement,1,441000€,2,0,0,0,1,37,0,,82,,2,0,
Evere,1140,Maison,1,525000€,4,0,0,0,0,,1,70,171,190,2,0,Bon
Grace-Hollogne,4460,Studio,1,89000€,1,0,0,0,0,,0,,46,,3,0,Excellent état
Arlon,6700,Appartement,1,200000€,2,0,0,0,0,,0,,76,,2,0,Bon
Ixelles,1050,Appartement,1,649000€,4,1,0,1,0,,0,,250,,4,0,
Alost,9300,Maison,1,325000€,3,0,0,0,1,25,1,135,155,230,2,0,Bon
Grammont,9500,Maison,1,385000€,2,0,0,0,0,,1,633,231,789,3,0,Fraîchement rénové
Herstal,4040,Appartement,1,106000€,3,1,0,0,0,,0,,100,,2,0,Bon
Aartselaar,2630,Maison bel-étage,1,279000€,2,1,0,0,1,6,1,135,123,178,,0,Excellent état
Lessines,7860,Projet neuf - Appartements,0,De 12500€ À 210000€,,0,0,0,0,,0,,,,,0,
Anderlues,6150,Projet neuf - Maisons,0,De 21500€ À 290372€,,0,0,0,0,,0,,,,,0,
Halle,1500,Res. Hoogland - Zwaluw,0,De 25000€ À 282000€,,0,0,0,0,,0,,,,,0,
Gand,9000,Bavo,0,De 64000€ À 719000€,,0,0,0,0,,0,,,,,0,
Seraing,4101,Maison,1,69000€,1,1,0,0,0,,0,,50,45,2,0,À rafraîchir
